"","x"
"489719193","1_1_1_1"
"518271679","1_2_1"
"481004298","1_2_2_1_1"
"569469018","1_1_1_2_1_1"
"314900022","1_1_1_2_1_1"
"476178907","1_2_2_1_2"
"485058595","1_1_1_2_2_1"
"501730497","1_1_1_2_2_1"
"564346637","1_1_1_2_2_1"
"555060623","1_1_2_1_1"
"501280518","1_1_1_2_2_1"
"479150681","1_1_1_2_2_1"
"386049446","1_2_2_1_1"
"483091812","1_1_1_2_1_2_1"
"485339983","1_1_2_2_1"
"485577686","1_2_1"
"581058864","1_1_2_1_1"
"482654108","1_1_1_2_1_1"
"485932822","1_2_2_1_2"
"561520050","1_1_1_2_1_2_1"
"513879001","1_2_1"
"567029686","1_1_2_1_1"
"580895033","1_1_1_1"
"570010469","1_1_1_2_2_1"
"577218818","1_1_1_2_1_1"
"469800845","1_2_2_1_2"
"327648537","1_2_2_2_1"
"501562903","1_1_2_2_1"
"512322162","1_1_2_2_1"
"490263438","1_1_2_1_2"
"485889190","1_2_2_2_1"
"505808144","1_1_2_1_2"
"527869035","1_2_2_1_2"
"501951290","1_2_1"
"566673170","1_1_1_2_1_2_1"
"502267531","1_2_2_1_2"
"490931049","1_1_1_2_2_2_1"
"485838981","1_1_2_1_2"
"476054829","1_1_1_2_1_2_2"
"367567889","1_2_2_2_2"
"503517607","1_1_2_2_2"
"502382506","1_1_1_2_2_1"
"484635029","1_1_1_1"
"474626527","1_1_1_2_2_2_1"
"485955227","1_2_1"
"528501887","1_1_2_1_1"
"502574847","1_2_1"
"313861608","1_1_1_1"
"515949222","1_2_1"
"481018305","1_1_1_1"
"480353286","1_2_1"
"489751959","1_2_1"
"483018019","1_2_2_1_2"
"476129135","1_1_1_2_1_2_1"
"478439166","1_2_2_1_1"
"478498617","1_1_1_2_1_2_1"
"473951795","1_1_1_2_2_1"
"563373346","1_1_1_2_2_2_1"
"483027960","1_1_1_2_1_2_1"
"561329890","1_1_1_2_2_2_1"
"486921382","1_1_2_2_1"
"502873181","1_1_1_2_2_2_1"
"475625477","1_1_1_2_2_2_1"
"486239338","1_2_1"
"320455763","1_1_1_1"
"329224678","1_1_1_1"
"487663469","1_1_2_2_2"
"517753911","1_2_1"
"487176969","1_1_1_1"
"505512874","1_1_2_1_2"
"523478869","1_1_2_1_2"
"501014504","1_1_1_2_1_2_1"
"320207387","1_2_1"
"397348126","1_2_2_2_1"
"469763389","1_2_2_1_2"
"481017021","1_1_1_1"
"478447600","1_2_2_2_1"
"475512108","1_1_1_1"
"341459814","1_1_1_2_2_1"
"476100382","1_1_1_2_2_1"
"488430487","1_1_2_2_1"
"526946319","1_1_2_1_2"
"486110216","1_2_2_1_2"
"479298854","1_1_1_1"
"500894271","1_2_1"
"556369531","1_2_1"
"487661754","1_1_2_1_1"
"464191630","1_1_1_2_2_2_2"
"489731121","1_2_2_2_2"
"522152249","1_1_2_2_1"
"556363725","1_2_1"
"485958978","1_2_1"
"488683425","1_1_2_2_2"
"479225294","1_1_2_2_1"
"482649712","1_1_2_1_1"
"318808427","1_2_2_2_1"
"502999078","1_1_2_2_2"
"324032509","1_1_2_1_2"
"482516631","1_1_1_1"
"569477234","1_1_2_2_1"
"479508018","1_2_2_2_2"
"504643398","1_2_1"
"476764144","1_1_1_1"
"526951157","1_1_2_1_1"
"397353539","1_2_2_2_2"
"479225080","1_2_1"
"490283519","1_2_1"
"570459682","1_1_1_2_2_1"
"515202564","1_2_1"
"481127348","1_1_1_1"
"484770879","1_2_2_1_2"
"504608602","1_1_1_2_2_1"
"566305266","1_1_1_2_2_1"
"490205998","1_2_1"
"480273887","1_1_1_2_1_2_1"
"481093525","1_1_1_1"
"501570114","1_1_1_2_1_1"
"471789504","1_1_2_1_1"
"500966656","1_1_1_2_2_1"
"482690728","1_1_1_1"
"480778441","1_1_1_2_1_2_1"
"514767977","1_1_1_2_2_2_2"
"480999763","1_1_1_2_2_2_2"
"517319635","1_2_2_2_2"
"579981789","1_1_2_1_1"
"471131311","1_1_2_2_2"
"485579168","1_2_1"
"325919795","1_1_2_1_1"
"510106222","1_1_2_1_1"
"468120757","1_2_1"
"526950199","1_1_2_1_1"
"569730838","1_1_2_1_2"
"487358945","1_2_1"
"491030723","1_1_1_2_2_1"
"467003163","1_2_2_1_2"
"323777372","1_1_2_2_2"
"476056333","1_1_2_1_1"
