aic_LIF	aic_LIFASC	aic_LIFR	aic_LIFRASC	aic_LIFRASCAT	cre	specimen_id
-40119.728706	-39515.9300929				Scnn1a-Tg3-Cre	476129135
-39323.7211465	-39565.7230612	-39503.1626307	-38950.1308587	-39059.2902669	Scnn1a-Tg3-Cre	476131588
-40132.8193078	-40380.8714914	-39307.7001158	-40158.4563269	-40602.4274789	Scnn1a-Tg3-Cre	476178907
-39382.8918908	-39853.7971551				Scnn1a-Tg3-Cre	476218657
-37010.9852834	-38669.3186289	-35945.6377735	-38982.5875924	-39841.2431752	Scnn1a-Tg3-Cre	476263004
-37191.186319	-38130.328377				Scnn1a-Tg3-Cre	476266853
-37835.8862443	-37931.2889738	-37832.8267984	-37918.6457819	-38265.3971223	Scnn1a-Tg3-Cre	476269122
-39741.6044674	-39252.8186541				Nr5a1-Cre	476452460
-38470.2795983	-38082.0410879				Nr5a1-Cre	476457450
-39645.6630677	-40009.7798129	-38236.5699023	-39983.8063921	-39977.0603927	Scnn1a-Tg3-Cre	476557750
-43411.8821352	-42076.8585843	-41464.8004523	-42061.2412034	-42423.713426	Rorb-IRES2-Cre-D	476562817
-35740.2376495	-37182.5988503				Rorb-IRES2-Cre-D	476615310
-38426.8356591	-37469.2849476	-38625.2548756	-38291.8458578	-38391.71186	Sst-IRES-Cre	476686112
-37524.9656225	-36520.9949607				Sst-IRES-Cre	476753465
-27933.3862315	-28558.4278099				Sst-IRES-Cre	476764144
-40579.9053841	-40489.1579799				Rorb-IRES2-Cre-D	476823462
-35300.98929	-37920.9963318	-33305.8177623	-37384.4055078	-36959.5004105	Pvalb-IRES-Cre	477490421
-34045.6404463	-39008.053373	-33283.2261465	-38618.9477467	-38906.3990262	Htr3a-Cre_NO152	477879512
-40897.3405554	-40290.8105949				Htr3a-Cre_NO152	477880128
-34527.3776779	-38809.3548421				Htr3a-Cre_NO152	477991293
-36185.5091375	-39752.7981795	-35022.5688586	-40124.9070034	-40119.4523311	Pvalb-IRES-Cre	478058328
-38301.7733839	-37690.5731295	-37636.6031476	-37374.7517899	-37372.5367647	Htr3a-Cre_NO152	478107198
-37198.7346413	-36805.9567348				Htr3a-Cre_NO152	478110866
-39482.4509315	-39571.1509002				Sst-IRES-Cre	478396248
-38097.8752014	-38793.4449232				Sst-IRES-Cre	478412623
-38273.3064774	-38613.2881801				Nr5a1-Cre	478439166
-37867.2779628	-38328.6750816	-37480.0010094	-38404.5124123	-38443.1038693	Nr5a1-Cre	478447600
-37892.4984988	-37684.8414253	-37922.429591	-37598.2868483	-38110.1562287	Rorb-IRES2-Cre-D	478498617
-39152.976363	-39118.7872508				Rorb-IRES2-Cre-D	478499902
