aic_LIF,aic_LIFASC,aic_LIFR,aic_LIFRASC,aic_LIFRASCAT,cre,specimen_id
-22126.4787701,-20827.9198308,,,,Rorb-IRES2-Cre-D,313860745
-14151.8146017,-14477.6871707,,,,Pvalb-IRES-Cre,313861608
-15935.4132887,-15315.0796298,-16711.0570206,-18515.0234428,-18513.0234428,Rorb-IRES2-Cre-D,313861677
-26076.6810356,-27187.1555859,-28052.8698379,-33234.2605588,-33232.2605588,Scnn1a-Tg3-Cre,313861794
-21878.1661194,-19115.0131412,,,,Scnn1a-Tg3-Cre,313861828
-10892.4525357,-10507.6378086,-11894.3417429,-12186.1644134,-12184.1644134,Sst-IRES-Cre,313862134
-18334.0461961,-13211.5151108,-19675.0428218,-23212.4958249,-23210.4958249,Sst-IRES-Cre,313862167
-25047.2339961,-25561.4637985,-26511.4694325,-25578.3597114,-25576.3597114,Sst-IRES-Cre,313862274
-17186.1746925,-15255.6586002,,,,Rorb-IRES2-Cre-D,314529406
-26414.5771818,-18914.9973596,,,,Rorb-IRES2-Cre-D,314617802
-14969.8084722,-13989.3891368,-16003.0643491,-17957.3257899,-17955.3257899,Rorb-IRES2-Cre-D,314642645
-15128.9173508,-16473.3967303,-15397.4243366,-19112.3704533,-19110.3704533,Rorb-IRES2-Cre-D,314800921
-13213.1483144,-11008.4644334,-14383.4756759,-17066.660352,-17064.660352,Rorb-IRES2-Cre-D,314822529
-15843.3879108,-14206.8169788,,,,Scnn1a-Tg3-Cre,314900022
-9281.99094087,-9589.3698288,-10916.0318161,-10085.5095048,-10083.5095048,Pvalb-IRES-Cre,318556138
-21260.4227541,-21607.7018845,-22156.8346729,-29235.13255,-29233.13255,Nr5a1-Cre,318733871
-13942.990591,-16248.204802,,,,Nr5a1-Cre,318808427
-18278.0774503,-19900.4664828,-18642.2714685,-25231.0775614,-25229.0775614,Scnn1a-Tg3-Cre,320207387
-16347.0741457,-15676.2210467,,,,Pvalb-IRES-Cre,320455763
-22678.6723451,-24313.0045749,-23994.1938907,-30803.0869883,-30801.0869883,Rorb-IRES2-Cre-D,320639930
-25223.4989538,-16547.3336964,-31644.4480858,-24190.287685,-24188.287685,Scnn1a-Tg2-Cre,320668841
-21436.7546661,-19225.0128819,-23787.2288751,-25613.9146793,-25611.9146793,Scnn1a-Tg3-Cre,320836481
-6225.37148755,-6728.85676424,,,,Pvalb-IRES-Cre,321707905
-26173.5435499,-25077.2998911,-27348.732015,-32171.1096067,-32169.1096067,Nr5a1-Cre,321893798
-24601.0437643,-25712.4626389,,,,Nr5a1-Cre,321923492
-19358.117655,-26194.7654729,-19612.6655659,-30855.3882773,-30853.3882773,Sst-IRES-Cre,322197160
-18407.4802168,-22080.5654831,-21750.9444478,-23149.9967123,-23147.9967123,Sst-IRES-Cre,322197295
-29398.0609192,-29670.7912682,-33790.7524913,-33930.2704094,-33928.2704094,Sst-IRES-Cre,322229594
-24758.1826113,-24000.692087,-28849.0829218,-30703.4003209,-30701.4003209,Sst-IRES-Cre,322246422
-22654.8892761,-18398.8948474,-24864.6598604,-27164.2737527,-27162.2737527,Ntsr1-Cre_GN220,322297406
-25012.4675405,-24373.4981632,-28023.5027097,-32251.2673198,-32249.2673198,Rorb-IRES2-Cre-D,322723785
-23873.5865379,-18912.0859934,,,,Rorb-IRES2-Cre-D,322761772
-13026.2774451,-12624.6518326,,,,Ntsr1-Cre_GN220,322762730
-25282.336875,-21507.4261484,,,,Ntsr1-Cre_GN220,322781822
-23055.7734707,-22714.283397,,,,Sst-IRES-Cre,323452245
-31769.4889152,-28321.2180931,,,,Scnn1a-Tg3-Cre,323777372
-20848.3728823,-21188.6845996,-21695.9470951,-23400.6881549,-23398.6881549,Scnn1a-Tg3-Cre,323834998
-21798.6902449,-20087.4422181,-25346.0111281,-26831.1220422,-26829.1220422,Scnn1a-Tg3-Cre,323838579
-17018.4173766,-13628.9455229,-19403.3685692,-21439.042681,-21437.042681,Rorb-IRES2-Cre-D,324025297
-26027.3646107,-22199.90679,-29368.667672,-30213.9302192,-30211.9302192,Rorb-IRES2-Cre-D,324032509
-15728.416729,-11469.1680318,-20102.9106847,-15725.4550951,-15723.4550951,Rorb-IRES2-Cre-D,324053519
-14891.8573975,-13745.999028,-16082.8777848,-17157.3609712,-17155.3609712,Rorb-IRES2-Cre-D,324065524
-18195.2038029,-19322.1760476,,,,Sst-IRES-Cre,324266189
-17229.8116136,-16475.3068016,-19831.6154639,-21114.6443055,-21112.6443055,Sst-IRES-Cre,324466858
-25563.9385868,-24054.3432595,-30807.3419129,-31693.5749173,-31691.5749173,Sst-IRES-Cre,324493977
-25531.8479744,-23580.4246753,,,,Scnn1a-Tg2-Cre,325480372
-36594.666377,-26736.8704329,-41919.3103479,-35362.124088,-35360.124088,Rbp4-Cre_KL100,325853048
-27468.4180271,-20250.013663,,,,Rbp4-Cre_KL100,325919795
-24318.1069107,-22422.8508268,,,,Htr3a-Cre_NO152,326734770
-28807.7321468,-36217.4142958,,,,Htr3a-Cre_NO152,327566447
-24703.6258445,-28677.3875715,,,,Htr3a-Cre_NO152,327644217
-24729.2708173,-22514.3633301,-29034.1178566,-35614.2358371,-35612.2358371,Htr3a-Cre_NO152,327648537
-22395.1744805,-21917.8002138,-23411.4305864,-34806.0386257,-34804.0386257,Htr3a-Cre_NO152,327679841
-18909.4733693,-19154.4980553,,,,Htr3a-Cre_NO152,327706437
-28779.0772359,-24171.4088057,,,,Htr3a-Cre_NO152,327962063
-16916.6700294,-16494.3539544,-21041.2459188,-22120.3136977,-22118.3136977,Sst-IRES-Cre,328015342
-23773.937546,-24483.9735502,-26656.4352759,-24504.2923809,-24502.2923809,Sst-IRES-Cre,328031983
-38552.335553,-37010.7184819,-44510.7540556,-42651.68433,-42649.68433,Sst-IRES-Cre,328535908
-45346.0346038,-42939.8400567,,,,Sst-IRES-Cre,328549885
-44312.7342311,-44951.0818654,,,,Sst-IRES-Cre,328876201
-29685.2556471,-30896.21564,-38779.6701078,-38554.4552049,-38552.4552049,Sst-IRES-Cre,329224678
