specimen_ID,cre,excitation,has_reset_rules,tau,ri,vrest,threshold_i_long_square,threshold_v_long_square,peak_v_long_square,fast_trough_v_long_square,trough_v_long_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_short_square,sag,avg_isi,f_i_curve_slope,latency,adaptation,max_burstiness_across_sweeps
489719193,Pvalb-IRES-Cre,inhibitory,TRUE,5.730276911,51.25011504,-76.4303894,540,-39.5,24.59375191,-66.25000763,-66.31250763,1.139039951,1.164322212,0.036171533,,1.142737643,0.006115,,0
518271679,Scnn1a-Tg2-Cre,excitatory,TRUE,19.00409714,143.5938627,-77.31341553,100,-38.34375381,35.43750381,-47.09375381,-57.56250381,3.411549724,3.405759272,0.080862194,78.10666667,0.16860237,0.05536,0.026921321,0.207792208
481004298,Htr3a-Cre_NO152,inhibitory,TRUE,8.804428426,132.8126937,-75.24282837,310,-35.90625,15.50000095,-49.59375381,-51.06250381,3.130522738,2.449802692,0.028520074,80.54791667,0.189206441,0.029075,-0.014471684,0
569469018,Chrna2-Cre_OE25,inhibitory,TRUE,33.04686954,402.7644098,-73.03413391,50,-35.3125,43.68750381,-46.8125,-55.68750381,3.430617027,3.382829873,0.154761508,92.848,0.184774067,0.03838,0.052803209,0
314900022,Scnn1a-Tg3-Cre,excitatory,TRUE,26.09936377,267.968744,-73.15476227,50,-41.65625381,26.84375,-50.75000381,-51.6875,2.628682077,2.862891735,0.162377104,49.58552632,0.205737705,0.021885,0.029715642,0.238526342
476178907,Scnn1a-Tg3-Cre,excitatory,TRUE,25.69397881,244.3750054,-70.59728241,70,-38.31250381,45.875,-48.90625,-56,3.721753475,3.951796568,0.014341467,99.434,0.127029369,0.03375,0.151628667,0
485058595,Sst-IRES-Cre,inhibitory,TRUE,31.99406085,353.5713851,-67.01851654,50,-42.28125,17.56250191,-57.62500381,-57.71875381,1.769539956,1.709985309,0.138903767,44.05738095,0.429090909,0.0283,0.013284267,0
501730497,Sst-IRES-Cre,inhibitory,TRUE,37.26235536,259.2188716,-66.96987915,50,-43.84375381,29.81250191,-59.65625,-59.78125381,2.153523951,2.326525174,0.204253703,47.196,0.336151079,0.02868,0.031973672,0
564346637,Ndnf-IRES2-dgCre,inhibitory,TRUE,25.97801404,283.4374905,-62.69814682,50,-38.28125,26.78125191,-60.87500381,-60.96875381,1.480181108,1.613714786,0.073682666,20.16,0.6658,0.01342,,0
555060623,Chrna2-Cre_OE25,inhibitory,TRUE,29.38729156,320.468694,-61.77535248,50,-32.96875381,25.25,-45.03125381,-49.75000381,2.668911427,2.703663968,0.063163906,121.9,0.252464789,0.02302,0.068794449,0.176014109
