specimen_id,cre,standard_err
313860745,Rorb-IRES2-Cre-D,0.0835421228
313861608,Pvalb-IRES-Cre,0.0061580443
313861677,Rorb-IRES2-Cre-D,0.1261180233
313861794,Scnn1a-Tg3-Cre,0.1086372701
313861828,Scnn1a-Tg3-Cre,0.099573243
313862134,Sst-IRES-Cre,0.0189936468
313862167,Sst-IRES-Cre,0.0337195348
313862274,Sst-IRES-Cre,0.0186542836
314529406,Rorb-IRES2-Cre-D,0.148302625
314617802,Rorb-IRES2-Cre-D,0.0534110858
314642645,Rorb-IRES2-Cre-D,0.0477037166
314800921,Rorb-IRES2-Cre-D,0.11423666
314822529,Rorb-IRES2-Cre-D,0.1026699766
314900022,Scnn1a-Tg3-Cre,0.0477088992
318556138,Pvalb-IRES-Cre,0.0108108312
318733871,Nr5a1-Cre,0.0788987689
318808427,Nr5a1-Cre,0.0303006246
320207387,Scnn1a-Tg3-Cre,0.0501422944
320455763,Pvalb-IRES-Cre,0.0159641201
320639930,Rorb-IRES2-Cre-D,0.0516857327
320668841,Scnn1a-Tg2-Cre,0.0592724743
320836481,Scnn1a-Tg3-Cre,0.1766724854
321707905,Pvalb-IRES-Cre,0.0113033709
321893798,Nr5a1-Cre,0.1203500691
321923492,Nr5a1-Cre,0.0097073612
322197160,Sst-IRES-Cre,0.02258941
322197295,Sst-IRES-Cre,0.0259117368
322229594,Sst-IRES-Cre,0.0251554565
322246422,Sst-IRES-Cre,0.033415828
322297406,Ntsr1-Cre_GN220,0.0741542853
322723785,Rorb-IRES2-Cre-D,0.0970835003
322761772,Rorb-IRES2-Cre-D,0.0689105705
322762730,Ntsr1-Cre_GN220,0.0424045167
322781822,Ntsr1-Cre_GN220,0.1111277778
323452245,Sst-IRES-Cre,0.0169772388
323777372,Scnn1a-Tg3-Cre,0.0475862651
323834998,Scnn1a-Tg3-Cre,0.053079644
323838579,Scnn1a-Tg3-Cre,0.0448683646
324025297,Rorb-IRES2-Cre-D,0.1734271903
324032509,Rorb-IRES2-Cre-D,0.0892137045
324053519,Rorb-IRES2-Cre-D,0.2231568
324065524,Rorb-IRES2-Cre-D,0.0552678837
324266189,Sst-IRES-Cre,0.0266251108
324466858,Sst-IRES-Cre,0.0292367883
324493977,Sst-IRES-Cre,0.0414620378
325480372,Scnn1a-Tg2-Cre,0.0467992194
325853048,Rbp4-Cre_KL100,0.1008854377
325919795,Rbp4-Cre_KL100,0.0373118309
326734770,Htr3a-Cre_NO152,0.0709376606
327566447,Htr3a-Cre_NO152,0.0278863076
327644217,Htr3a-Cre_NO152,0.0171521357
327648537,Htr3a-Cre_NO152,0.0866040394
327679841,Htr3a-Cre_NO152,0.0378463632
327706437,Htr3a-Cre_NO152,0.0443806997
327962063,Htr3a-Cre_NO152,0.0411045207
328015342,Sst-IRES-Cre,0.0294920936
328031983,Sst-IRES-Cre,0.0116544795
328535908,Sst-IRES-Cre,0.0302969736
328549885,Sst-IRES-Cre,0.029024597
328876201,Sst-IRES-Cre,0.0212078467
329224678,Sst-IRES-Cre,0.012172095
329241587,Sst-IRES-Cre,0.016682128
329254830,Sst-IRES-Cre,0.0222535449
329550277,Rorb-IRES2-Cre-D,0.0683867944
329557305,Rorb-IRES2-Cre-D,0.0770874897
330080937,Pvalb-IRES-Cre,0.0159294381
333785935,Pvalb-IRES-Cre,0.0141927467
336676216,Pvalb-IRES-Cre,0.0228007677
341016267,Pvalb-IRES-Cre,0.0160947893
341442651,Pvalb-IRES-Cre,0.0269595191
341459814,Pvalb-IRES-Cre,0.0187054567
354190013,Scnn1a-Tg2-Cre,0.1243939025
354833767,Nr5a1-Cre,0.0411750154
367567889,Nr5a1-Cre,0.0717934503
369697038,Nr5a1-Cre,0.046633449
370351753,Nr5a1-Cre,0.056770332
382982932,Nr5a1-Cre,0.0456686556
386049446,Nr5a1-Cre,0.0668288827
386970660,Nr5a1-Cre,0.0746358276
